,Date,open_price,high_price,low_price,close_price,volume,news_lm,news_lm_count,News_bs,news_bs_count,news_mc1,news_mc_count,Sentiment on Date,Subjectivity on Day,Sentiment Value,Subjectivity value,News Sentiment on Date,News Subjectivity on Day,News Sentiment Value,News Subjectivity value,total_tweets,retweets_sum,tweets_favourites_sum,News,total_news
225,2020-07-06,2205,2269.9,2205,2263.2,5190366,"JP Morgan Funds buys TCS shares worth ₹247 cr,Covid-19 impact on IT is not as bad as feared",2.0,"Despite Poor Show In Q4, India Inc'S Combined Dividend Payout Rises 6.5%,JP Morgan Funds Buys TCS Shares Worth Rs 247 Cr Via Open Market Transaction,TCS Gains 9% In 4 Days Ahead Of Q1 Nos On Thursday; Stock Nears Record High,Market Ahead, July 6: Top Factors That Could Guide Markets This Week",4.0,JP Morgan Funds buys TCS shares worth Rs 247 crore,1.0,0,0,0.0,0.0,Neutral,Highly Subjective,0.042857143,0.36666666700000006,0.0,0.0,0.0,"Despite Poor Show In Q4, India Inc'S Combined Dividend Payout Rises 6.5%,JP Morgan Funds Buys TCS Shares Worth Rs 247 Cr Via Open Market Transaction,TCS Gains 9% In 4 Days Ahead Of Q1 Nos On Thursday; Stock Nears Record High,Market Ahead, July 6: Top Factors That Could Guide Markets This Week,JP Morgan Funds buys TCS shares worth ₹247 cr,Covid-19 impact on IT is not as bad as feared,JP Morgan Funds buys TCS shares worth Rs 247 crore",7.0
226,2020-07-03,2163.65,2205,2160.25,2199.65,4185208,0,0.0,"Genpact, UPL Corporation Won'T Be Impacted By India Downgrade: Moody'S",1.0,Q1 results: Can Indian IT firms manage to duck COVID-19 bouncer?,1.0,0,0,0.0,0.0,Neutral,Objective,0.0,0.0,0.0,0.0,0.0,"Genpact, UPL Corporation Won'T Be Impacted By India Downgrade: Moody'S,Q1 results: Can Indian IT firms manage to duck COVID-19 bouncer?",2.0
227,2020-07-02,2102,2165,2098,2157.15,3758699,0,0.0,"Indian IT Firms May Report 5-9% Contraction In Revenues For June Quarter,IT Shares Extend Gain; Infosys Rallies 9%, TCS Surges 7% In One Week",2.0,0,0.0,0,0,0.0,0.0,Neutral,Objective,0.0,0.0,0.0,0.0,0.0,"Indian IT Firms May Report 5-9% Contraction In Revenues For June Quarter,IT Shares Extend Gain; Infosys Rallies 9%, TCS Surges 7% In One Week",2.0
228,2020-07-01,2079.7,2113.95,2079.5,2092.05,2503466,0,0.0,Indian IT Services Firms Relying Less On Visas As Approval Rates Nosedive,1.0,0,0.0,0,0,0.0,0.0,Negative,Objective,-0.166666667,0.066666667,0.0,0.0,0.0,Indian IT Services Firms Relying Less On Visas As Approval Rates Nosedive,1.0
229,2020-06-30,2100,2111.9,2075.05,2082.15,3071725,0,0.0,TCS Board To Meet On Jul 9 To Approve Financial Results For June Qtr,1.0,TCS to announce Q1 results on July 9,1.0,0,0,0.0,0.0,Neutral,Objective,0.0,0.0,0.0,0.0,0.0,"TCS Board To Meet On Jul 9 To Approve Financial Results For June Qtr,TCS to announce Q1 results on July 9",2.0
230,2020-06-29,2108,2127.6,2091.3,2101.65,3076341,0,0.0,0,0.0,0,0.0,Neutral,Highly Subjective,0.01978022,0.343589744,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
231,2020-06-26,2025,2132,2019.95,2118.85,6300722,0,0.0,0,0.0,0,0.0, Slightly Positive,Highly Subjective,0.1484375,0.29765625,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
232,2020-06-25,2035,2060,2009.25,2016.1,3043931,0,0.0,0,0.0,COVID-19 impact: Indian IT firms may forgo filing fresh H-1B petitions this year,1.0, Slightly Positive,Highly Subjective,0.147420147,0.363513514, Slightly Positive,Slightly Subjective,0.3,0.5,21.0,6.0,36.0,COVID-19 impact: Indian IT firms may forgo filing fresh H-1B petitions this year,1.0
233,2020-06-24,2034,2064.25,2031.6,2042.2,2560937,0,0.0,0,0.0,0,0.0,Negative,Highly Subjective,-0.022222222000000003,0.26666666699999997,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
234,2020-06-23,2027,2044,2010,2035.3,4205944,H-1B visa suspension may adversely impact margins of IT companies,1.0,"Visa Politics,Reliance Industries To Hold Virtual Annual General Meeting On July 15",2.0,0,0.0,0,0,0.0,0.0,Neutral,Slightly Subjective,0.05,0.5,0.0,0.0,0.0,"Visa Politics,Reliance Industries To Hold Virtual Annual General Meeting On July 15,H-1B visa suspension may adversely impact margins of IT companies",3.0
235,2020-06-22,2050,2052.25,2019.15,2027.95,3196138,Reliance Industries to hold its first virtual AGM,1.0,0,0.0,0,0.0,0,0,0.0,0.0, Slightly Positive,Highly Subjective,0.25,0.333333333,0.0,0.0,0.0,Reliance Industries to hold its first virtual AGM,1.0
236,2020-06-19,2042,2090,2032,2044.6,5681758,TCS collaborates with IBM for enterprise transformation,1.0,Infosys Expects 35% Of Staff To Work From Home Amid Covid-19 Crisis,1.0,0,0.0,0,0,0.0,0.0,Neutral,Objective,0.0,0.0,0.0,0.0,0.0,"Infosys Expects 35% Of Staff To Work From Home Amid Covid-19 Crisis,TCS collaborates with IBM for enterprise transformation",2.0
237,2020-06-18,2045,2059.2,2025.2,2038.1,1944389,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
238,2020-06-17,2046,2058.85,2026.55,2047.8,2703527,0,0.0,0,0.0,Will reverse migration of techies pave way for IT sector's growth in smaller cities?,1.0,0,0,0.0,0.0,Neutral,Slightly Subjective,0.0,0.5,0.0,0.0,0.0,Will reverse migration of techies pave way for IT sector's growth in smaller cities?,1.0
239,2020-06-16,2065,2073.95,2031,2045.8,2146528,"Sensex, Nifty claw back after losing all gains on India-China border tensions",1.0,0,0.0,0,0.0,0,0,0.0,0.0,Neutral,Objective,0.0,0.0,0.0,0.0,0.0,"Sensex, Nifty claw back after losing all gains on India-China border tensions",1.0
240,2020-06-15,2039.1,2059,2000.95,2029.9,2399022,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
241,2020-06-12,2011.2,2049.2,2011,2039.5,2842642,Indian IT sector may face the heat if US suspends H-1B visa,1.0,Allowing 75% Of TCS Staff To WFH By 2025 A Guesstimate: N Chandrasekaran,1.0,0,0.0,0,0,0.0,0.0,Neutral,Objective,0.0,0.0,0.0,0.0,0.0,"Allowing 75% Of TCS Staff To WFH By 2025 A Guesstimate: N Chandrasekaran,Indian IT sector may face the heat if US suspends H-1B visa",2.0
242,2020-06-11,2100,2105,2061.8,2067.65,2269513,'TCS well poised to tap digital transformation opportunity in post covid world',1.0,0,0.0,"World's reliance on China for sourcing goods to reduce, presents opportunity for India: N Chandrasekaran",1.0,0,0,0.0,0.0,Neutral,Objective,0.0,0.0,0.0,0.0,0.0,"'TCS well poised to tap digital transformation opportunity in post covid world',World's reliance on China for sourcing goods to reduce, presents opportunity for India: N Chandrasekaran",2.0
243,2020-06-10,2077.05,2132,2073.5,2108.75,5168397,0,0.0,"TCS Extends Gains Into Third Day, Hits Three-Month High Ahead Of AGM",1.0,TCS iON partners with NSDC to accelerate skill development,1.0,0,0,0.0,0.0,Neutral,Highly Subjective,0.08,0.27,0.0,0.0,0.0,"TCS Extends Gains Into Third Day, Hits Three-Month High Ahead Of AGM,TCS iON partners with NSDC to accelerate skill development",2.0
244,2020-06-09,2063.1,2095.5,2060.25,2072.05,2909439,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
245,2020-06-08,2078.25,2095,2062.1,2071.75,2957841,Tata Consultancy Services share price up 1.11% at closing today,1.0,0,0.0,0,0.0,0,0,0.0,0.0,Neutral,Objective,0.0,0.0,0.0,0.0,0.0,Tata Consultancy Services share price up 1.11% at closing today,1.0
246,2020-06-05,2091.6,2098,2040.3,2048.25,3573289,Tata Consultancy Services share price down 2.19% at closing today,1.0,0,0.0,0,0.0,0,0,0.0,0.0,Neutral,Objective,0.0,0.0,0.0,0.0,0.0,Tata Consultancy Services share price down 2.19% at closing today,1.0
247,2020-06-04,2046.75,2100,2046.75,2091.55,4048593,Tata Consultancy Services share price up 2.37% at closing today,1.0,0,0.0,0,0.0,0,0,0.0,0.0,Neutral,Objective,0.0,0.0,0.0,0.0,0.0,Tata Consultancy Services share price up 2.37% at closing today,1.0
248,2020-06-03,2051.85,2063.75,2020,2046.15,3699799,Tata Consultancy Services share price down 0.08% at closing today,1.0,"IT Stocks: Investors Should Wait Till Clarity On Growth, Margin Emerges",1.0,0,0.0,0,0,0.0,0.0,Neutral,Objective,0.0,0.0,0.0,0.0,0.0,"IT Stocks: Investors Should Wait Till Clarity On Growth, Margin Emerges,Tata Consultancy Services share price down 0.08% at closing today",2.0
